sample_idx,pos,gt_token,pred_token,tf_loss,free_loss,audio_only,is_eos,gt_eos_pos,pred_eos_pos
0,0,chapter,i,18.875,19.125,True,False,48,44
0,1, one, have,4.875,17.75,False,False,48,44
0,2, miss, an,6.9375,13.5625,False,False,48,44
0,3,us, extensive,3.96875,19.875,False,False,48,44
0,4, r, herd,10.75,16.375,False,False,48,44
0,5,achel, of,4.625,23.25,False,False,48,44
0,6, ly, sheep,15.375,18.375,False,False,48,44
0,7,nde, and,2.75,25.125,False,False,48,44
0,8, is, cattle,4.53125,13.6875,False,False,48,44
0,9, surprised, and,7.3125,18.0,False,False,48,44
0,10, miss, i,19.875,12.6875,False,False,48,44
0,11,us, also,2.703125,24.5,False,False,48,44
0,12, r, bake,0.120117,13.75,False,False,48,44
0,13,achel, a,0.000441,20.125,False,False,48,44
0,14, ly, good,10.625,20.375,False,False,48,44
0,15,nde, deal,0.002136,14.8125,False,False,48,44
0,16, lived, so,11.6875,16.5,False,False,48,44
0,17, just, ans,10.0625,15.875,False,False,48,44
0,18, where,el,17.125,17.375,False,False,48,44
0,19, the, said,0.063965,16.5,False,False,48,44
0,20, av, and,15.3125,19.0,False,False,48,44
0,21,on, also,3.0625,21.0,False,False,48,44
0,22,lea, have,11.1875,16.5,False,False,48,44
0,23, main, i,21.5,22.5,False,False,48,44
0,24, road, said,11.1875,18.75,False,False,48,44
0,25, dipped, i,12.0625,15.0625,False,False,48,44
0,26, down, will,5.21875,24.875,False,False,48,44
0,27, into, not,9.25,23.5,False,False,48,44
0,28, a, go,1.914062,9.625,False,False,48,44
0,29, little, to,9.25,21.5,False,False,48,44
0,30, hollow, the,4.9375,24.125,False,False,48,44
0,31, fr, farm,25.125,18.0,False,False,48,44
0,32,inged, nor,3.515625,20.5,False,False,48,44
0,33, with, take,0.000607,9.625,False,False,48,44
0,34, al, any,13.625,19.5,False,False,48,44
0,35,ders, of,0.492188,18.875,False,False,48,44
0,36, and, the,0.00164,20.75,False,False,48,44
0,37, ladies, animals,18.0,19.75,False,False,48,44
0,38, e, or,10.25,16.0,False,False,48,44
0,39,ard, food,13.0,23.375,False,False,48,44
0,40,rops, with,12.8125,18.5,False,False,48,44
0,41, and, me,1.601562,19.25,False,False,48,44
0,42, travers, it,17.75,22.0,False,False,48,44
0,43,ed, looked,0.000171,22.25,False,False,48,44
0,44, by,<|im_end|>,2.421875,15.0,False,False,48,44
0,45, a,"
",4.03125,29.375,False,False,48,44
0,46, bro,<|im_start|>,15.0625,26.75,False,False,48,44
0,47,ok,assistant,0.124512,17.25,False,False,48,44
0,48,<|im_end|>,"
",0.515625,2.015625,False,True,48,44
1,0,that,the,8.875,9.0,True,False,59,52
1,1, had, same,7.8125,11.5625,False,False,59,52
1,2, its, teal,18.625,15.6875,False,False,59,52
1,3, source,ign,14.1875,22.375,False,False,59,52
1,4, away, ,27.25,15.75,False,False,59,52
1,5, back,1,25.875,13.3125,False,False,59,52
1,6, in, of,0.00066,12.875,False,False,59,52
1,7, the, daily,3.28125,9.1875,False,False,59,52
1,8, woods, news,13.4375,16.625,False,False,59,52
1,9, of, and,11.5625,8.8125,False,False,59,52
1,10, the, ,10.9375,11.0625,False,False,59,52
1,11, old,2,8.1875,24.75,False,False,59,52
1,12, c, of,15.75,25.125,False,False,59,52
1,13,uth, qu,9.875,16.375,False,False,59,52
1,14,bert,etz,0.527344,13.0625,False,False,59,52
1,15, place,al,28.875,16.375,False,False,59,52
1,16, it, cob,9.75,12.0,False,False,59,52
1,17, was,web,6.09375,14.75,False,False,59,52
1,18, reputed, like,17.125,12.75,False,False,59,52
