sample_idx,pos,gt_token,pred_token,tf_loss,free_loss,audio_only,is_eos,gt_eos_pos,pred_eos_pos
0,0,chapter,and,14.9375,15.125,True,False,48,26
0,1, one, by,2.125,6.03125,False,False,48,26
0,2, miss, means,14.4375,18.0,False,False,48,26
0,3,us, of,0.180664,36.0,False,False,48,26
0,4, r, her,13.3125,15.375,False,False,48,26
0,5,achel, soul,6.59375,14.1875,False,False,48,26
0,6, ly,’s,17.875,19.75,False,False,48,26
0,7,nde, pure,2.6875,16.25,False,False,48,26
0,8, is, enthusiasm,14.6875,14.75,False,False,48,26
0,9, surprised, he,7.46875,16.75,False,False,48,26
0,10, miss, earned,29.25,14.625,False,False,48,26
0,11,us, this,2.96875,24.875,False,False,48,26
0,12, r, feminine,4.96875,15.5,False,False,48,26
0,13,achel, admiration,0.138672,15.4375,False,False,48,26
0,14, ly, bar,0.088379,17.125,False,False,48,26
0,15,nde,onne,0.017578,16.75,False,False,48,26
0,16, lived, rose,13.0,13.875,False,False,48,26
0,17, just, to,14.8125,16.375,False,False,48,26
0,18, where, her,12.0625,19.625,False,False,48,26
0,19, the, feet,5.96875,26.625,False,False,48,26
0,20, av, with,14.875,19.25,False,False,48,26
0,21,on, a,5.53125,29.0,False,False,48,26
0,22,lea, sudden,4.46875,20.75,False,False,48,26
0,23, main, and,16.0,19.375,False,False,48,26
0,24, road, strong,4.28125,17.5,False,False,48,26
0,25, dipped, impulse,11.5625,16.375,False,False,48,26
0,26, down,<|im_end|>,3.3125,12.75,False,False,48,26
0,27, into,<|im_end|>,1.046875,20.25,False,False,48,26
0,28, a,<|im_end|>,7.375,25.75,False,False,48,26
0,29, little,<|im_end|>,6.09375,30.125,False,False,48,26
0,30, hollow,<|im_end|>,4.125,28.0,False,False,48,26
0,31, fr,<|im_end|>,24.0,24.875,False,False,48,26
0,32,inged,<|im_end|>,9.5,26.375,False,False,48,26
0,33, with,<|im_end|>,3.515625,24.75,False,False,48,26
0,34, al,<|im_end|>,13.75,25.0,False,False,48,26
0,35,ders,<|im_end|>,1.148438,22.75,False,False,48,26
0,36, and,<|im_end|>,7.28125,21.625,False,False,48,26
0,37, ladies,<|im_end|>,14.25,20.375,False,False,48,26
0,38, e,<|im_end|>,10.375,19.75,False,False,48,26
0,39,ard,<|im_end|>,8.125,18.0,False,False,48,26
0,40,rops,<|im_end|>,9.5,19.25,False,False,48,26
0,41, and,<|im_end|>,8.25,16.25,False,False,48,26
0,42, travers,<|im_end|>,13.75,18.25,False,False,48,26
0,43,ed,<|im_end|>,0.004028,15.5,False,False,48,26
0,44, by,<|im_end|>,0.144531,13.625,False,False,48,26
0,45, a,<|im_end|>,11.3125,10.1875,False,False,48,26
0,46, bro,<|im_end|>,14.6875,17.875,False,False,48,26
0,47,ok,<|im_end|>,2.390625,16.0,False,False,48,26
0,48,<|im_end|>,<|im_end|>,12.375,0.075195,False,True,48,26
1,0,that,they,8.3125,8.1875,True,False,59,40
1,1, had,'re,16.25,12.125,False,False,59,40
1,2, its, in,14.375,15.5625,False,False,59,40
1,3, source, between,7.375,12.5,False,False,59,40
1,4, away, two,20.25,15.8125,False,False,59,40
1,5, back, things,11.0625,17.125,False,False,59,40
1,6, in, i,0.34375,7.28125,False,False,59,40
1,7, the, didn,0.00012,15.5625,False,False,59,40
1,8, woods,'t,15.4375,25.625,False,False,59,40
1,9, of, at,3.609375,15.4375,False,False,59,40
1,10, the, the,7.71875,0.163086,False,False,59,40
1,11, old, time,8.6875,14.4375,False,False,59,40
1,12, c, have,15.875,25.875,False,False,59,40
1,13,uth, any,5.3125,23.25,False,False,59,40
1,14,bert, specific,0.855469,17.625,False,False,59,40
1,15, place, word,13.125,20.875,False,False,59,40
1,16, it, for,5.875,19.875,False,False,59,40
1,17, was, it,0.917969,23.5,False,False,59,40
1,18, reputed, but,15.625,18.75,False,False,59,40
1,19, to, it,14.25,7.21875,False,False,59,40
1,20, be, was,0.757812,19.5,False,False,59,40
1,21, an, about,6.25,2.828125,False,False,59,40
1,22, intricate, right,9.3125,20.625,False,False,59,40
1,23, head, to,11.25,25.25,False,False,59,40
1,24,long, my,9.875,20.5,False,False,59,40
1,25, bro, perception,11.25,18.75,False,False,59,40
1,26,ok, an,3.53125,17.75,False,False,59,40
1,27, in, objection,17.625,9.125,False,False,59,40
1,28, its, that,6.3125,11.9375,False,False,59,40
1,29, earlier, some,13.25,15.5,False,False,59,40
1,30, course, described,6.5625,17.0,False,False,59,40
1,31, through, the,5.15625,16.5,False,False,59,40
1,32, those, person,16.5,14.0625,False,False,59,40
1,33, woods, who,1.65625,19.25,False,False,59,40
1,34, with, called,9.625,15.375,False,False,59,40
1,35, dark, myself,13.4375,18.0,False,False,59,40
1,36, secrets, cool,18.75,16.375,False,False,59,40
1,37, of, had,5.71875,9.4375,False,False,59,40
1,38, pool, been,15.25,16.25,False,False,59,40
1,39, and, before,0.038818,15.5,False,False,59,40
1,40, cascade,<|im_end|>,10.0,15.8125,False,False,59,40
1,41, but,"
",3.125,16.75,False,False,59,40
1,42, by,##,2.9375,18.625,False,False,59,40
1,43, the, A,0.085938,5.5,False,False,59,40
1,44, time, person,0.067383,10.6875,False,False,59,40
1,45, it, who,0.535156,20.375,False,False,59,40
1,46, reached, is,0.15918,22.875,False,False,59,40
1,47, ly, cool,13.5,16.625,False,False,59,40
1,48,nde, has,5.625,20.125,False,False,59,40
1,49,'s, the,8.9375,17.25,False,False,59,40
1,50, hollow, following,15.1875,18.375,False,False,59,40
1,51, it, characteristics,0.030029,14.875,False,False,59,40
1,52, was,:,0.265625,13.4375,False,False,59,40
1,53, a, _,9.75,1.632812,False,False,59,40
1,54, quiet, A,11.5625,19.375,False,False,59,40
1,55, well, person,9.9375,14.5,False,False,59,40
1,56, conducted, who,11.5625,19.0,False,False,59,40
1,57, little, is,15.125,18.875,False,False,59,40
1,58, stream, not,0.578125,15.25,False,False,59,40
1,59,<|im_end|>, hot,0.066406,11.3125,False,True,59,40
2,0,for,then,6.4375,6.71875,True,False,53,46
2,1, not, how,13.625,13.3125,False,False,53,46
2,2, even, can,2.609375,14.75,False,False,53,46
2,3, a, he,4.71875,16.375,False,False,53,46
2,4, bro, remain,11.1875,11.25,False,False,53,46
2,5,ok, happy,5.46875,22.375,False,False,53,46
2,6, could, and,21.625,15.0,False,False,53,46
2,7, run, secure,9.0,22.125,False,False,53,46
2,8, past, in,19.25,17.625,False,False,53,46
2,9, miss, his,16.125,15.5,False,False,53,46
2,10,us, love,10.375,22.875,False,False,53,46
2,11, r, and,8.375,19.25,False,False,53,46
2,12,achel, respect,5.34375,17.75,False,False,53,46
2,13, ly, then,14.125,20.25,False,False,53,46
2,14,nde, said,2.765625,27.75,False,False,53,46
2,15,'s, the,4.46875,18.875,False,False,53,46
2,16, door, lady,8.875,13.9375,False,False,53,46
2,17, without, dome,0.038818,11.125,False,False,53,46
2,18, due,wich,14.5,17.625,False,False,53,46
2,19, regard, in,6.71875,16.0,False,False,53,46
2,20, for, her,2.09375,15.6875,False,False,53,46
2,21, decency, manner,12.5625,10.125,False,False,53,46
2,22, and, of,0.000368,10.1875,False,False,53,46
2,23, decor, speaking,2.953125,17.75,False,False,53,46
2,24,um, i,0.002167,21.75,False,False,53,46
2,25, it, would,9.5,16.75,False,False,53,46
2,26, probably, not,15.3125,17.25,False,False,53,46
2,27, was, have,8.625,13.9375,False,False,53,46
2,28, conscious, you,18.5,18.125,False,False,53,46
2,29, that, think,14.3125,14.3125,False,False,53,46
2,30, miss, that,1.757812,19.25,False,False,53,46
2,31,us, way,9e-06,20.375,False,False,53,46
2,32, r, father,0.000511,18.875,False,False,53,46
2,33,achel, although,0.011047,16.875,False,False,53,46
2,34, was, i,6.25,16.75,False,False,53,46
2,35, sitting, love,11.375,16.375,False,False,53,46
2,36, at, you,7.96875,19.25,False,False,53,46
2,37, her, much,0.167969,18.5,False,False,53,46
2,38, window, love,6.40625,18.625,False,False,53,46
2,39, keeping, is,9.3125,18.875,False,False,53,46
2,40, a, not,12.375,21.5,False,False,53,46
2,41, sharp, enough,4.75,14.0,False,False,53,46
2,42, eye, for,0.063477,20.125,False,False,53,46
2,43, on, me,1.742188,16.875,False,False,53,46
2,44, everything, and,7.8125,15.375,False,False,53,46
2,45, that, you,1.023438,9.5625,False,False,53,46
2,46, passed,<|im_end|>,6.25,13.9375,False,False,53,46
2,47, from,"
",11.875,26.25,False,False,53,46
2,48, bro,1,13.625,19.25,False,False,53,46
2,49,oks,0,6.875,19.125,False,False,53,46
2,50, and,<|im_end|>,5.78125,14.25,False,False,53,46
2,51, children,"
",12.8125,29.5,False,False,53,46
2,52, up,1,11.5,24.875,False,False,53,46
2,53,<|im_end|>,1,10.8125,11.9375,False,True,53,46
3,0,and,he,9.3125,8.625,True,False,59,55
3,1, that, attempted,11.125,16.75,False,False,59,55
3,2, if, to,8.1875,22.125,False,False,59,55
3,3, she, shake,1.03125,16.0,False,False,59,55
3,4, noticed, him,10.3125,18.125,False,False,59,55
3,5, anything, but,13.4375,31.5,False,False,59,55
3,6, odd, this,6.625,15.75,False,False,59,55
3,7, or, was,8.625,9.5,False,False,59,55
3,8, out, no,7.21875,14.4375,False,False,59,55
3,9, of, way,0.008606,15.4375,False,False,59,55
3,10, place, polite,3.171875,18.875,False,False,59,55
3,11, she, and,0.026001,13.1875,False,False,59,55
3,12, would, as,3.484375,10.0,False,False,59,55
3,13, never, ,13.75,13.125,False,False,59,55
3,14, rest,ch,21.5,23.75,False,False,59,55
